Source,Expected Positive,Priorität,Straftatbestand (Verdacht),Kategorie,Begründung,Name,Username,Profile ID,Date,Likes,Comment,User Verified,Comment ID,Profile URL,Comment URL,Thumbnail,Lfd. Nr. (Original-Export)
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"Billigt die Handlung des Ladenbesitzers als richtig, was eine Zustimmung zur Willkürmaßnahme gegen Juden darstellt.",laura08.p,laura08.p,51061578599,2026-06-01 22:30:04,0,Er hat alles richtig gemacht,no,18144255622506929,https://www.instagram.com/laura08.p,https://www.instagram.com/p/DZDH8YstgWl/c/18144255622506929,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/658112772_18055077857698600_1489459530867472543_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gFxyvHcYDHwYOqQhbrGyX5lvuRiIzTmLa-IN2H8TGoutZ_mVbngtKkALW63ZFVsAv8&_nc_ohc=HJXefbXyX-0Q7kNvwEmsrjC&_nc_gid=iky_bkw_Yq1PXuLyWlf_fg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQAbdqQEoijxg2byDH50jDE3us1DroL2fkerO8OiihsuVQ&oe=6A6AF9EF&_nc_sid=0985b0,389
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"Aufforderungscharakter, dass sich ""alle deutschen"" am Verhalten des Täters orientieren sollen, billigt und propagiert die Ausgrenzung von Juden.",iburnic,iburnic,47938763528,2026-06-02 00:13:53,0,Bester Mann so sollten alle deutschen sein,no,18077869649400994,https://www.instagram.com/iburnic,https://www.instagram.com/p/DZDH8YstgWl/c/18077869649400994,https://instagram.frtm1-1.fna.fbcdn.net/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-webp&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuZXhwZXJpbWVudGFsIn0&_nc_ht=instagram.frtm1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2gH4b-h3jBuC1Ll0YZj1NH5sWX2rF6EE7-xnPnF3uf_18zSEc4HyWmbW7FVecuyxVsE&_nc_ohc=vUGxye7DTtYQ7kNvwH4xAsM&_nc_gid=AfIzmpA6l0rqBucSGcRLXA&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AQAswCNX1A9XNsY3PQ6E7G0DMvqljTynu8atcrZiztHBHw&oe=6A6B08EA&_nc_sid=65462d,977
test-data3,true,mittel,§ 130 Abs. 1 StGB,Aufstacheln zum Hass,"Abwertende Verballhornung ""IsraelHell"" mit unterstellter böswilliger Fremdsteuerung, entmenschlichender Unterton gegen Israelis/Juden.",klodja7,klodja7,70962065459,2026-06-01 23:04:54,0,Wir müssen alles reinlassen was IsraelHell befiehlt,no,18078708899230108,https://www.instagram.com/klodja7,https://www.instagram.com/p/DZDH8YstgWl/c/18078708899230108,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/643091878_17906305098361460_6916762602161824497_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gGoRh-mGgodevo4QlLspcX7B8PahW0b8SB6NS1m_8fonqYph2qz5QBeTw_2RxmZW1Y&_nc_ohc=Hap4Xd4v7qEQ7kNvwEjby53&_nc_gid=vgJ0G_fMNYvbt8D-6xUDjQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQC4N9VNUyAfyuZgAwIuVPVFv1r6516UVIbK6Xyvf2FsVQ&oe=6A6AFFFB&_nc_sid=0985b0,581
test-data3,true,mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,"Fordert eine Ehrung des Täters (""sollte geehrt werden"") für das antisemitische Hausverbotsschild.",a.h81x,a.h81x,1948926825,2026-06-02 21:20:47,0,Der Mann hat Eier und sollte geehrt werden,no,18093116597192950,https://www.instagram.com/a.h81x,https://www.instagram.com/p/DZDH8YstgWl/c/18093116597192950,https://scontent-eze1-2.cdninstagram.com/v/t51.2885-19/11333623_1624595397787657_1327633946_a.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gE_cNcSO2qfGLAZ8ygOUJsiffrN3BhX-exemmTunhu2kadWKTpLPza4mr_YevnkrKs&_nc_ohc=Rt_VeJRgIsIQ7kNvwEF2LNs&_nc_gid=RcMBT0Msm-52mftmbJkokg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQCM3IFfkZP92AROztUZUr9G3eCqmpwiDAR1iFHxNYnKGA&oe=6A6B1A1A&_nc_sid=0985b0,3606
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"Bezeichnet den Täter als ""Held"", der einen ""Orden"" verdiene; verherrlicht die diskriminierende Handlung gegen Juden.",ali9670299,ali9670299,78452738961,2026-06-02 01:24:00,0,Der Mann ist ein Held und müsste dafür einen Orden kriegen unbedingt 👏👏👏👏,no,18115623361642055,https://www.instagram.com/ali9670299,https://www.instagram.com/p/DZDH8YstgWl/c/18115623361642055,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/589303182_17847028203610962_933045587946427902_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zMjAuYzIifQ&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2gGxS6S0mFeiim_iEpNQqAAkM_oXWrox0S1v0AIaHYVylAjhfZx_gxcoGlTtRb37hok&_nc_ohc=DvN98Dxz2pMQ7kNvwG0h5i_&_nc_gid=22-tlho5iaWT-8CyqMAZ4A&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQA8dwqalmksYPzuKSrmz__ZXpPZGyFKLmcy1JIoaQrVHg&oe=6A6B02C8&_nc_sid=0985b0,1247
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"Ausdrückliche Zustimmung zur Tat des Ladenbesitzers (""wir brauchen mehr leute wie ihn"") billigt die diskriminierende Willkürmaßnahme gegen Juden als Gruppe.",gb.gonzalez69,gb.gonzalez69,71079560055,2026-06-02 00:12:30,0,NIEMAND IST EMPÖRT 😂😂😂 wir brauchen mehr leute wie ihn !,no,17973844965069672,https://www.instagram.com/gb.gonzalez69,https://www.instagram.com/p/DZDH8YstgWl/c/17973844965069672,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/468531429_986030146874147_1395717063272190774_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDI0LmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gFefdEEjFN0GqVMVdcsntNA9yAMXW79onrqemn3_ADlPiCyUbi4OciW35blojUl6bg&_nc_ohc=fvqagJIAhmEQ7kNvwFCowmp&_nc_gid=WF7HRP2X5aA72YC1xYTJ-g&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQCEZfhCQSzhu5HKvIBKhdMaaq0tUs4Lx8yTd0XWnZyfUw&oe=6A6B05F8&_nc_sid=0985b0,968
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"""Free hans"" fordert die Freilassung/Straffreiheit des Täters und billigt damit dessen Handlung.",lorenzo_g59,lorenzo_g59,9389644423,2026-06-02 02:11:22,0,Free hans,no,18374344723166826,https://www.instagram.com/lorenzo_g59,https://www.instagram.com/p/DZDH8YstgWl/c/18374344723166826,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/217424822_830383644531977_8041618178403364631_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MTkuYzIifQ&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gGmZljf3BRSkO170gxDqy8p7kf534XqM2D6DhQdi-oNo6Z_QJz8j7mTaiR1Gq8F0s8&_nc_ohc=qPhACrS8Sa8Q7kNvwFTfu8o&_nc_gid=PJ6l6j7NIIk05K7-0E5qPA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQBG91MtDIXOtnvAP5mPPNEPF_tRuIfV6vCs5byUMD8Fhw&oe=6A6AFF79&_nc_sid=0985b0,1422
test-data3,true,mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,"""Macher"" im täterfreundlichen Kontext lobt die Handlung des Verurteilten.",silversurfer_200sx,silversurfer_200sx,34009819208,2026-06-02 00:03:30,0,Macher,no,18154978234475378,https://www.instagram.com/silversurfer_200sx,https://www.instagram.com/p/DZDH8YstgWl/c/18154978234475378,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/719828173_18099610565131209_5539628270625608685_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFJfIsg4ul4p8ArgfrrkODARU39mR7HzwzsRj38foBDqg2rPNAtTmwedj5o64ris5I&_nc_ohc=Kc91gyAMCC0Q7kNvwEu4DBj&_nc_gid=YrzuNyzzogGfc-a3QYyuaA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQAovtW755BTFTlGP4Uz1wo9c8SrzLLyUGLbRA0R2GZf1A&oe=6A6AFDC5&_nc_sid=0985b0,927
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"Billigt die Tat ausdrücklich als richtig, ohne dass ein anderer Bezug (z.B. zum Urteil) erkennbar ist.",wittmann683,wittmann683,59370746606,2026-06-08 02:06:59,0,Alles richtig gemacht,no,18104411984020950,https://www.instagram.com/wittmann683,https://www.instagram.com/p/DZDH8YstgWl/c/18104411984020950,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/447078801_351277241307105_6740623570502825616_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41NDAuYzIifQ&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHh5MhqYl2vFM_4hNkzbKZzTmjZRNICWMOnlFgye1ptqAft-EHF9x1PRz_oKmBSCgk&_nc_ohc=osxz-2L2nbUQ7kNvwFnZbtz&_nc_gid=KuwWMFrtGQ5oLfeysdhwqg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDNopkDLRu926LLK2jEtEJfpFIICCALt5po0fRbFM2dtg&oe=6A6AEACE&_nc_sid=0985b0,4391
data2,,,,,,manu.me96_1893,manu.me96_1893,49061947053,2026-06-01 23:59:06,0,"Die Kommentare bestätigen leider so ziemlich jedes Vorurteil, dass ich gegenüber RTL Zuschauern habe...",no,18081895775172313,https://www.instagram.com/manu.me96_1893,https://www.instagram.com/p/DZDH8YstgWl/c/18081895775172313,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/234175300_203506661731078_599102986938622150_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby40NTcuYzIifQ&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gFJfIsg4ul4p8ArgfrrkODARU39mR7HzwzsRj38foBDqg2rPNAtTmwedj5o64ris5I&_nc_ohc=caAfAFiArIoQ7kNvwGvfp-t&_nc_gid=YrzuNyzzogGfc-a3QYyuaA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQBkpCJQRslV0SNRPquFSfJ--sZfRQALFByz2-ofFSahPw&oe=6A6AF722&_nc_sid=0985b0,
