Evaluation Group,Expected Relevant,Expected Discrimination,Source,Review Reason,Priorität,Straftatbestand (Verdacht),Kategorie,Begründung,Name,Username,Profile ID,Date,Likes,Comment,User Verified,Comment ID,Profile URL,Comment URL,Thumbnail,Lfd. Nr. (Original-Export),Translated Comment
positive,true,ambiguous,data-positive,"Bezeichnet die Aussage des Ladenbesitzers als ""die Wahrheit"" und stellt Berichterstattung über antisemitische Vorfälle in Israel dagegen; billigt damit die Aussage/Tat des Täters.",mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"Bezeichnet die Aussage des Ladenbesitzers als ""die Wahrheit"" und stellt Berichterstattung über antisemitische Vorfälle in Israel dagegen; billigt damit die Aussage/Tat des Täters.",zawgesh_1000,zawgesh_1000,32999009263,2026-06-02 00:16:32,0,"Schön wäre es, wenn ihr über diesen Verbrechen in Israel berichten würdet und nicht über so einen kleinen Ladenbesitzer, der die Wahrheit ausspricht!",no,18095023223238060,https://www.instagram.com/zawgesh_1000,https://www.instagram.com/p/DZDH8YstgWl/c/18095023223238060,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/730723617_18098450633097264_3367907851167204546_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmV4cGVyaW1lbnRhbCJ9&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gEHAd4s4MvHrLJWmu3oPBWPjeqPzqgZBpSItMDKHDlAfADhbFcwQXLduHGxcwH_dOU&_nc_ohc=JYSOLK_zUtUQ7kNvwGDAXO2&_nc_gid=-CdHnV4VDaSIVCvm0_KF4g&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDE-pdBuMGCtdx_xRfZljshN0Uhb6LSyfecl-AkI7E9YA&oe=6A6B1A3B&_nc_sid=0985b0,994,It would be nice if you reported on these crimes in Israel and not on some small shop owner who speaks the truth!
positive,true,true,data-positive,'Er hatte recht' als deutliche Zustimmung zur Ausgrenzung von Juden.,mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,'Er hatte recht' als deutliche Zustimmung zur Ausgrenzung von Juden.,asimamurtovi,asimamurtovi,2238566042,2026-06-02 13:59:52,0,Er hatte recht 👍👍👍👍,no,18080431232194899,https://www.instagram.com/asimamurtovi,https://www.instagram.com/p/DZDH8YstgWl/c/18080431232194899,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/332319888_923751175485185_6060008319745967657_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44MTkuYzIifQ&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gGBIpQyJ40zB-5e2JJNHgpKYQvFbUWoesJlUPrIKpjr71XBTfb2BFPE6kNWzmiZV-E&_nc_ohc=O8W4IUngaGYQ7kNvwERnJwH&_nc_gid=1I12LAon-7FddfyBWv8UsA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQCatRAUd2gCAvU1KoWJdsqFEhL8bYdi9_5YWlpzWzwODw&oe=6A6B190B&_nc_sid=0985b0,2765,He was right 👍👍👍👍
neutral,false,false,data2-reviewed,Manually reviewed control,,,,,xyouversusproxx,xyouversusproxx,77424170353,2026-06-01 21:56:27,0,@sebastian_wiegand Gab’s komischerweise zu Corona Zeiten nicht. Wie war das nochmal mit der systematischen Ausschließung von ungeimpften oder nicht ausreichend geimpfte mit der 2G Regel? Und komm mir bloß nicht mit dem Argument „Ja aber das kannst du ja nicht von vor 80 vergleichen“. Doch das kann ich und werde ich. Beide Gruppen wurden systematisch von der Gesellschaft ausgeschlossen,no,18093639659602812,https://www.instagram.com/xyouversusproxx,https://www.instagram.com/p/DZDH8YstgWl/c/18093639659602812,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4yMjQuYzIifQ&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gHaz6IUo7LWBKR7z5YI6cGysrC75j8HjdJM92zAL-5JhrPd7uJ7bG6VTBm0tfeD0MKTZHv-LBP7IeACU8w-k1X7&_nc_ohc=vUGxye7DTtYQ7kNvwGf81ui&edm=AAAAAAABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AQAvMQJXoo6WXqRfvRKXvpxuDU7FhC0c2gkdrdyQBRaeqw&oe=6A6B08EA&_nc_sid=328259,,"@sebastian_wiegand Strangely, there wasn't that during Corona times. How was that again with the systematic exclusion of unvaccinated or insufficiently vaccinated people with the 2G rule? And don't you dare come with the argument ""Yes, but you can't compare that from before 80"". But I can and I will. Both groups were systematically excluded from society."
positive,true,true,data-positive,"Erklärt ausdrücklich, dem Schild und der Aussage des Täters zuzustimmen (""Stimme dem Schild zu. Bin ganz seiner Meinung"") und billigt damit die Ausgrenzung von Juden als Gruppe.",mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"Erklärt ausdrücklich, dem Schild und der Aussage des Täters zuzustimmen (""Stimme dem Schild zu. Bin ganz seiner Meinung"") und billigt damit die Ausgrenzung von Juden als Gruppe.",liron.qrj,liron.qrj,44643340997,2026-06-02 01:40:25,0,"Starker Mann. Sollte jedem Besitzer selber überlassen sein, wen er reinlässt und wen nicht. Vor Gericht gelandet nur für seine Meinung und sein Recht sein Hausrecht so zu gestalten wie er will. Stimme dem Schild zu. Bin ganz seiner Meinung",no,18143494351522763,https://www.instagram.com/liron.qrj,https://www.instagram.com/p/DZDH8YstgWl/c/18143494351522763,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/753541270_18119668475492998_5882594415995496023_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gE7ph9RLmoqayOiqdvrItJZIFCiBUdqGoAhcaOPdqRWDDhsUm06tXjG1yugRxnz8j8&_nc_ohc=redlX5VBDvoQ7kNvwGQqYLF&_nc_gid=2aWIg5O-dyNAHJF8uLPhXA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQAhkGMk9Lu4l1NREN-wJsH4foUFQE5XIHe0wFnjelTk_w&oe=6A6B0A9F&_nc_sid=0985b0,1313,Strong man. Should be left to every owner themselves who they let in and who they don't. Ended up in court only for his opinion and his right to shape his house rules the way he wants. I agree with the sign. I'm entirely of his opinion.
positive,true,ambiguous,data-positive,Bietet finanzielle Unterstützung zur Übernahme der Geldstrafe für die Volksverhetzungstat an und billigt diese damit aktiv.,mittel,§ 140 StGB,Billigung Willkürmaßnahme,Bietet finanzielle Unterstützung zur Übernahme der Geldstrafe für die Volksverhetzungstat an und billigt diese damit aktiv.,apokocer1974,apokocer1974,6138450558,2026-06-08 01:17:49,0,"brauchst du eine Spende, wir unterstützen dich. die geldstrafe kriegen wir alle Male wieder zusammen",no,18105192139790989,https://www.instagram.com/apokocer1974,https://www.instagram.com/p/DZDH8YstgWl/c/18105192139790989,https://scontent-eze1-2.cdninstagram.com/v/t51.2885-19/412831034_1021293655645448_4021378414186862705_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gHh5MhqYl2vFM_4hNkzbKZzTmjZRNICWMOnlFgye1ptqAft-EHF9x1PRz_oKmBSCgk&_nc_ohc=R_P1rk5AiI4Q7kNvwGStKag&_nc_gid=KuwWMFrtGQ5oLfeysdhwqg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDwFO_ZmNJUsM9Ag8v7Mpy7cAFk9OWASFJOCzW3TbiUQg&oe=6A6AE7D5&_nc_sid=0985b0,4389,"Do you need a donation, we support you. We'll get the fine together again no problem."
counter_speech,false,false,data2-reviewed,Manually reviewed control,,,,,_morgen_rot_,_morgen_rot_,52693230422,2026-07-12 12:15:17,0,Nein hat er nicht. Grundgesetz ist in Deutschland immer noch aktiv.,no,18118672648835957,https://www.instagram.com/_morgen_rot_,https://www.instagram.com/p/DZDH8YstgWl/c/18118672648835957,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/615326302_18032661017758423_1128605676242264036_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gEUnAA1Kgei0--81Bu3pYoQ-xCPpDTYuqH68bykw5taXhb8hVJvpCaWnBjgJUQ8ibc&_nc_ohc=RCW2keFxPHIQ7kNvwEtLZeK&_nc_gid=sd9CkGhOofQjVw_tGXQQVw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQA-nytA4j6A1EzOGGGXJXKHuDH2nNS0WGkOYDuxVH4nfQ&oe=6A6AF0FE&_nc_sid=0985b0,,"No, he did not. The Basic Law is still active in Germany."
positive,true,true,data-positive,"Bezeichnet die Handlung als 'alles richtig gemacht' und rahmt das Hausverbot gegen Juden als bloße Meinungsäußerung, billigt damit die Willkürmaßnahme.",mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,"Bezeichnet die Handlung als 'alles richtig gemacht' und rahmt das Hausverbot gegen Juden als bloße Meinungsäußerung, billigt damit die Willkürmaßnahme.",neyh.58,neyh.58,1937173207,2026-06-02 11:44:23,0,Er hat alles richtig gemacht. Die eigene Meinung vertreten… ist dann eine Straftat wenn es um die geht!,no,18083268197173246,https://www.instagram.com/neyh.58,https://www.instagram.com/p/DZDH8YstgWl/c/18083268197173246,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/568824540_18502635163069208_1345843800248390203_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gH50YIUgJwQ85dTO2AE7jRUaMuoMK4xTGF7AKp3UK3-x60l8ejXT2WaHy4-P3Z7y1A&_nc_ohc=kpSgjU-u870Q7kNvwGuiSB4&_nc_gid=HmmqaAQNKT5EEpeWjiuJAg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDAIpydJJkFumOjwAq5_nsjAm7uxAH7SGTtEEHFXTFF-w&oe=6A6B0BB8&_nc_sid=0985b0,2433,He did everything right. Expressing one's own opinion... is then a crime when it's about them!
positive,true,false,data-positive,"""guter goy"" ist ein abwertender antisemitischer Code, mit dem Nicht-Juden verhöhnend als Befehlsempfänger jüdischer Interessen dargestellt werden; Anspielung auf antisemitische Verschwörungserzählung.",mittel,§ 130 Abs. 1 StGB,Verhetzende Beleidigung,"""guter goy"" ist ein abwertender antisemitischer Code, mit dem Nicht-Juden verhöhnend als Befehlsempfänger jüdischer Interessen dargestellt werden; Anspielung auf antisemitische Verschwörungserzählung.",takeuchi_len08,takeuchi_len08,72758271389,2026-06-02 02:26:49,0,@kusstro guter goy✌🏻,no,18592351354008337,https://www.instagram.com/takeuchi_len08,https://www.instagram.com/p/DZDH8YstgWl/c/18592351354008337,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/574748269_17875951695431390_2154457557597018080_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gGSjGYwhjCf_DtX_0dADMae7NxrX0jGxcIU4GQUXCgzhAfVwbTzKGCKIcxTvkO49yA&_nc_ohc=CzDxp60inL4Q7kNvwGFUCl9&_nc_gid=dhW5T05g_es3pOEv243sZQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQBTkhILT5Mj-3oemQdsF_59mzfZit2gdt1bZetHbd31nQ&oe=6A6B0DA4&_nc_sid=0985b0,1464,@kusstro good goy✌🏻
positive,true,ambiguous,data-positive,"""Starker Typ"" lobt den wegen Volksverhetzung Verurteilten für seine Tat.",mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,"""Starker Typ"" lobt den wegen Volksverhetzung Verurteilten für seine Tat.",isabremen47_,isabremen47_,63281058388,2026-06-01 23:40:52,0,Starker typ,no,17949783507188627,https://www.instagram.com/isabremen47_,https://www.instagram.com/p/DZDH8YstgWl/c/17949783507188627,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/658391967_17951740608106389_2100835156501985597_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gEqX6wcEJtAx4ryYIx_96ojQ0pVDw4AUmzsp4HU98TbgiKuF00dzJ9c1oncWSADSo0&_nc_ohc=jhw6JRfTWS0Q7kNvwHOEAx_&_nc_gid=AZBrlQ15-Dd3DkRqw0Qf5A&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQA44jMIbf56RkoB7e_ZiDwDgpD0HHIazg9QWz9gAr9zCQ&oe=6A6AF224&_nc_sid=0985b0,780,Strong guy
neutral,false,false,data2-reviewed,Manually reviewed control,,,,,1337.jas0n,1337.jas0n,53152951090,2026-06-02 11:30:49,0,Was ist mit den Leuten die afd Wähler Zutritt verbieten? Ist im Endeffekt nix anderes,no,17995618586970740,https://www.instagram.com/1337.jas0n,https://www.instagram.com/p/DZDH8YstgWl/c/17995618586970740,https://scontent-eze1-2.cdninstagram.com/v/t51.2885-19/499246111_18005132345775091_3371329377390015338_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gH50YIUgJwQ85dTO2AE7jRUaMuoMK4xTGF7AKp3UK3-x60l8ejXT2WaHy4-P3Z7y1A&_nc_ohc=LZ2oGsV2W0wQ7kNvwGMijzJ&_nc_gid=HmmqaAQNKT5EEpeWjiuJAg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDpMUAXfd_O9NsQtfooupdBVnqwJo5xzAZMMiPPNbmldw&oe=6A6B0449&_nc_sid=0985b0,,"What about the people who ban AfD voters from entering? In the end, it's nothing different."
